시도,구군,시설명,소재지,시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,처리방법,적용신기술,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,준공일,가동개시일,사업비(백만원),방류수 소독방법,수계,지류,세부단위 구역,지역구분,명칭,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,운영주체,위탁업체명,위탁비용,위탁계약기간(시작),위탁계약기간(종료),중심처리시설,직원총수(명),안전사고건수
부산광역시,사하구,강변(장림),부산광역시 사하구 신평동 659-2 ,450000,0,0,450000,404052.4,0,0,404052.4,375437.6,0,0,375437.6,175.4,2.4,116,9.9,189.4,1.7,33.643,8.869,2.572,0.49,225505,500,98.6,69878.6,"표준활성슬러지법,A2O",,2710.3,0,1193.4,14564.5,1990-11-30,1990-12-01,828000,염소 ,낙동강,낙동강,남해동부,500톤 이상(Ⅳ지역),낙동강남해,Ⅳ,34.6,11437.7,32660524,3958.4,0.109,공기업,부산환경공단,0,2017-01-01,2021-12-31,,49,0
부산광역시,강서구,녹산,부산광역시 강서구 송정동 1773 ,160000,0,0,160000,95505.1,0,0,95505.1,89387.3,0,0,89387.3,132.8,3.2,73.5,13.1,94.2,2.6,35.551,9.393,3.073,0.677,73790,422,97.6,12378.7,MLE,,0,0,137.4,43685,2001-08-18,2001-08-18,90261,자외선 ,낙동강,낙동강,남해동부,500톤 이상(Ⅳ지역),낙동강남해,Ⅳ,1.8,2799.6,12007484,49.9,0.169,공기업,부산환경공단,7509.7,2017-01-01,2021-12-31,,30,0
부산광역시,강서구,서부,부산광역시 강서구 강동동 1539 ,15000,0,0,15000,7529.3,0,0,7529.3,7227,0,0,7227,134,1.4,76.7,5.8,119.7,0.9,34.769,6.083,3.948,0.045,71150,63,99,998.8,SBR,,0,0,0,0,2003-04-30,2003-04-30,46750,자외선 ,낙동강,평강천,동부경남,500톤 이상(Ⅱ지역),낙동강하구언,Ⅰb,19,382.4,1352569,72.7,0.235,공기업,부산환경공단,1992.5,2017-01-01,2021-12-31,,19,0
부산광역시,강서구,범방,부산광역시 강서구 가락대로900번가길 32-1 (범방동) ,140,0,140,0,43.1,0,43.1,0,43.1,0,43.1,0,133.1,6,125.3,11.5,124,5.9,47.043,14.116,8.43,1.122,57887,165,95.5,5.5,기타,,0,0,0,0,2005-11-01,2009-12-01,0,염소 자외선 오존 기타,낙동강,,남해동부,500톤 미만 50톤 이상,낙동강남해,Ⅳ,0,5.4,23390,0,0.681,민간(대행),(주)영동엔지니어링,50,2020-01-01,2020-12-31,,1,0
부산광역시,강서구,동선,부산광역시 강서구 동선1길 67 (동선동) ,35,0,0,35,41.6,0,0,41.6,41.6,0,0,41.6,123.4,6.2,124.2,11.4,125.3,6.1,47.594,13.267,8.965,1.152,56167,123,95,4.9,KM-SBR,,0,0,0,0,2011-03-01,2013-12-01,0,염소 자외선 오존 기타,낙동강,,남해동부,50톤 미만,낙동강남해,Ⅳ,0,6.1,26596,0,0.802,민간(대행),(주)영동엔지니어링,50,2020-01-01,2020-12-31,,1,0
부산광역시,강서구,봉림,부산광역시 강서구 봉림길94번가길 9 (봉림동) ,30,0,0,30,16.8,0,0,16.8,16.8,0,0,16.8,125.1,6,124.4,11,123.4,6.1,47.992,12.706,9.049,1.865,61000,124,95.2,2,SMMIAR,,0,0,0,0,2008-06-01,2012-11-01,0,염소 자외선 오존 기타,낙동강,,남해동부,50톤 미만,낙동강남해,Ⅳ,0,6.2,27282,0,2.039,민간(대행),(주)영동엔지니어링,50,2020-01-01,2020-12-31,,1,0
부산광역시,강서구,두문,부산광역시 강서구 천성로39번길 6-2 (천성동) ,25,0,0,25,13.5,0,0,13.5,13.5,0,0,13.5,124.1,5.7,122.1,10.7,124.8,5.9,46.579,12.986,9.144,1.141,56833,113,95.4,1.6,KM-SBR,,0,0,0,0,2012-04-01,2014-04-01,0,염소 자외선 오존 기타,낙동강,,남해동부,50톤 미만,낙동강남해,Ⅳ,0,6.6,28820,0,2.683,민간(대행),(주)영동엔지니어링,50,2020-01-01,2020-12-31,,1,0
부산광역시,강서구,세산,부산광역시 강서구 생곡로 230-38 (생곡동) ,20,0,20,0,13.6,0,13.6,0,13.6,0,13.6,0,126.1,6.5,120.2,11.7,123.8,6.3,46.711,13.429,9.03,1.375,60750,168,94.8,1.6,기타,,0,0,0,0,2010-02-01,2010-02-01,0,염소 자외선 오존 기타,낙동강,,남해동부,50톤 미만,낙동강남해,Ⅳ,0,6.8,29622,0,2.744,민간(대행),(주)영동엔지니어링,50,2020-01-01,2020-12-31,,1,0
부산광역시,기장군,정관,부산광역시 기장군 정관읍 예림리 1098-1 ,40000,0,0,40000,25539.2,0,0,25539.2,22570,0,0,22570,181.8,4.3,132.4,13.3,209,2.3,57.823,7.679,5.914,0.194,194153,244,97.6,4531.6,DNR,,0,0,0,0,2008-03-31,2008-05-01,43781,자외선 ,낙동강,좌광천,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,3.2,1672.9,7070102,53.8,0.393,공기업,부산환경공단,3782.6,2017-01-01,2021-12-31,,23,0
부산광역시,기장군,기장,부산광역시 기장군 기장대로 564   부산광역시 기장군 기장읍 신천리 252,27000,0,0,27000,26522.1,0,0,26522.1,23696.7,0,0,23696.7,134,1.7,77.5,8.1,165.9,1.2,32.828,5.557,4.131,0.255,273691,37,98.7,3507.8,P/L-Ⅱ,Side-Stream을 이용한 하수고도처리공법(PL-2공법),0,0,0,0,2006-12-26,2007-02-01,58315,자외선 ,낙동강,죽성천,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,3.7,963.4,4049779,36,0.215,공기업,부산환경공단,2878.2,2017-01-01,2021-12-31,,22,0
