시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
50,0,50,91.4,0.0,91.4,91.4,0.0,91.4,63.0,11.1,83.4,5.5,27.133000000000003,11.037,3.014,1.571,113500,822,13.4,0.0,0.0,0.0,0.0,741.0,0,1,1,0.0,17.8,77545.0,0.0,1.065,21.0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,4851,4851,1,1,1,1,96.5
9000,9000,0,7410.8,0.0,7410.8,6838.8,0.0,6838.8,119.0,7.9,197.8,2.3,38.837,4.356,4.22,0.37,199756,148,1772.5,16.0,0.0,0.0,0.0,28567.0,0,0,1,25.1,125.7,411251.0,31.5,0.075,2407.0,13,0,0,0,1,0,0,1,1,0,1,0,0,0,1,6455,6487,0,1,0,0,99.0
30,0,30,17.7,0.0,17.7,17.7,0.0,17.7,74.5,9.6,92.5,3.7,38.37,15.212,5.115,2.22,61083,321,1.6,0.0,0.0,0.0,0.0,351.0,1,0,1,0.0,10.4,45536.0,0.0,3.237,8.0,15,0,0,1,0,1,1,1,0,1,0,1,0,0,1,5692,5692,1,1,1,1,95.1
48,0,48,61.5,0.0,61.5,61.5,0.0,61.5,39.8,10.9,49.0,3.1,29.801,14.615,2.667,1.298,7550,84,2.8,0.0,0.0,0.0,0.0,103.0,1,0,0,0.0,5.3,23169.0,0.0,0.473,40.3,4,0,0,1,1,1,1,1,0,1,0,1,0,1,0,5509,5509,0,1,1,1,93.5
100,0,100,102.9,0.0,102.9,102.9,0.0,102.9,82.8,6.9,153.9,0.5,26.5,12.259,3.761,0.3279999999999999,107712,4,17.5,0.0,0.0,0.0,0.0,4217.0,0,1,1,0.0,21.1,91974.0,0.0,1.122,0.0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1408,1173,1,1,1,1,99.1
27000,0,27000,22624.7,0.0,22624.7,22553.6,0.0,22553.6,135.0,9.8,339.8,2.4,59.694,9.057,6.444,0.233,177186,126,6057.2,0.0,0.0,0.0,0.0,36774.0,0,1,1,0.0,953.5,4163678.0,0.0,0.2319999999999999,2601.0,18,0,0,1,0,0,1,1,0,0,0,1,0,0,1,5780,5780,0,1,0,0,98.5
45,0,45,34.7,0.0,34.7,34.7,0.0,34.7,46.0,8.3,78.9,5.9,31.517,12.152,8336.65,1.217,61227,70,1.9,0.0,0.0,0.0,0.0,1275.0,0,1,1,0.0,3.6,15884.0,0.0,0.574,0.0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,5144,2953,1,1,1,1,93.2
50,0,50,34.0,0.0,34.0,34.0,0.0,34.0,77.5,7.0,161.7,1.4,38.891,10.470999999999998,3.774,1.012,162132,30,5.3,0.0,0.0,0.0,0.0,2137.0,1,0,1,13.8,18.4,69290.0,2.5,2.56,11.5,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,3231,3231,1,1,1,1,99.4
50,0,50,30.8,0.0,30.8,30.8,0.0,30.8,128.4,6.5,239.0,1.0,46.20399999999999,8.883,4.623,1.18,189692,2,6.5,0.0,0.0,0.0,0.0,1385.0,1,0,1,0.0,12.4,53979.0,0.0,2.2,0.0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,3287,3284,1,1,1,1,99.6
20,0,20,20.0,0.0,20.0,20.0,0.0,20.0,90.0,9.5,108.6,3.0,38.371,9.987,4.372,1.39,86654,85,4.2,0.0,0.0,0.0,0.0,1660.0,0,1,1,0.0,3.7,16002.0,0.0,1.006,7.8,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1200,1178,1,1,1,1,97.8
100,0,100,55.1,0.0,55.1,55.1,0.0,55.1,70.1,11.7,156.0,2.1,28.501,14.32,2.873,1.422,210943,103,6.4,0.0,0.0,0.0,0.0,1014.0,1,0,1,0.0,10.8,47338.0,0.0,1.079,0.0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,6190,6170,1,1,1,1,94.5
500,0,500,406.3,0.0,406.3,402.9,0.0,402.9,97.7,7.5,146.4,5.0,31.852,11.963,5.416,0.536,115355,99,46.1,0.0,0.0,0.0,0.0,6973.0,0,1,1,0.0,29.3,128082.0,0.0,0.3989999999999999,0.0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,4414,4382,0,1,0,0,96.0
120,0,120,74.2,0.0,74.2,74.2,0.0,74.2,90.5,10.1,163.7,6.0,36.849,12.905,3.894,1.14,89827,60,11.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,7.4,32357.0,0.0,0.547,28.0,6,0,0,1,1,0,0,1,0,1,0,0,1,0,0,3150,3150,1,1,1,1,97.3
560,0,560,406.9,0.0,406.9,373.4,0.0,373.4,75.7,6.3,123.4,1.8,30.382,9.762,2.894,1.007,130507,217,34.0,0.0,0.0,0.0,0.0,4999.0,0,0,1,19.7,57.0,200137.0,11.2,0.6729999999999999,302.1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,4398,4286,0,1,0,0,94.9
30,0,30,10.0,10.0,0.0,10.0,10.0,0.0,61.1,8.8,78.5,4.0,45.06,6.849,4.464,0.412,53750,4,1.0,0.0,0.0,0.0,0.0,2187.0,0,0,1,0.0,1.6,7173.0,0.0,3.141,0.0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,125,104,1,1,1,1,96.2
15,0,15,5.6,0.0,5.6,5.6,0.0,5.6,27.6,4.6,38.2,2.6,22.393,8.289,2.239,0.627,25208,72,0.2,0.0,0.0,0.0,0.0,400.0,1,0,1,0.0,4.7,20672.0,0.0,4.662,2.3,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,8431,8431,1,1,1,1,94.0
16000,0,16000,14567.6,0.0,14567.6,13893.8,0.0,13893.8,101.0,6.0,189.2,0.2,42.334,6.382000000000001,4.359,0.051,126224,2,2521.0,0.0,0.0,0.0,0.0,62676.0,1,0,0,0.0,1461.5,6382021.0,0.0,0.5770000000000001,0.0,10,0,0,1,0,0,1,1,0,1,1,0,0,0,1,3961,4005,0,0,0,1,99.4
110,0,110,82.7,82.7,0.0,82.7,82.7,0.0,79.7,15.6,96.1,5.2,30.754,13.792,4.825,1.51,26855,52,10.7,0.0,0.0,0.0,0.0,585.0,0,1,1,0.0,16.3,70965.0,0.0,1.077,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,3141,2912,1,1,1,1,95.9
60,0,60,47.9,0.0,47.9,46.7,0.0,46.7,99.1,8.3,133.4,4.0,50.67,12.918,6.752999999999999,1.234,71000,197,5.6,0.0,0.0,0.0,0.0,2355.0,1,0,1,0.0,10.3,44769.0,0.0,1.207,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1108,1092,1,1,1,1,96.0
45,0,45,36.3,0.0,36.3,36.3,0.0,36.3,93.2,8.3,110.9,4.6,23.875,14.895,2.191,1.3430000000000002,300000,510,3.8,0.0,0.0,0.0,0.0,876.0,0,0,1,0.0,5.6,24588.0,0.0,0.85,3.3,3,0,0,1,1,1,0,1,0,1,0,1,0,1,1,5155,5155,1,1,1,1,96.0
49,0,49,43.9,43.9,0.0,43.9,43.9,0.0,92.6,14.5,137.7,5.1,32.853,16.447,3.217,1.193,21250,1008,5.6,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,5.3,23187.0,0.0,0.664,28.4,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,5358,5358,1,1,1,1,97.1
320,0,320,306.7,0.0,306.7,298.3,0.0,298.3,79.0,6.1,136.7,4.8,34.452,6.316,3.877,0.804,143750,136,41.9,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,3897,3897,1,1,1,1,97.3
60,0,60,54.6,0.0,54.6,54.6,0.0,54.6,57.5,5.6,405.2,2.9,19.216,9.844,2.423,0.985,46384,58,10.8,0.0,0.0,0.0,0.0,300.0,1,0,0,0.0,4.0,17680.0,0.0,0.408,10.2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,5475,5475,1,1,1,1,99.3
130,0,130,147.0,0.0,147.0,147.0,0.0,147.0,58.9,5.4,57.0,0.5,33.792,10.675999999999998,3.912,1.5490000000000002,163849,98,15.5,0.0,0.0,0.0,0.0,1855.8,0,1,0,0.0,1.1,4827.0,0.0,0.0409999999999999,14.8,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,4370,4370,1,1,1,1,98.2
40,0,40,19.9,0.0,19.9,19.9,0.0,19.9,78.6,13.0,93.3,5.1,39.376,12.124,4.6,0.948,67917,45,2.4,0.0,0.0,0.0,0.0,252.0,1,0,1,0.0,3.1,13712.0,0.0,0.8640000000000001,0.0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,4398,4398,1,1,1,1,96.1
