시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),방류수 소독방법,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도,구군,시설명,소재지,처리방법,적용신기술,중심처리시설,운영주체,명칭,지역구분,세부단위 구역,지류,수계,준공일_day,가동개시일_day
450000,0,0,450000,404052.4,0,0.0,404052.4,375437.6,0,0.0,375437.6,175.4,2.4,116.0,9.9,189.4,1.7,33.643,8.869,2.572,0.49,225505,500,98.6,69878.6,2710.3,0.0,1193.4,14564.5,828000.0,염소 ,Ⅳ,34.6,11437.7,32660524.0,3958.4,0.109,0.0,49,0,부산광역시,사하구,강변(장림),부산광역시 사하구 신평동 659-2 ,"표준활성슬러지법,A2O",0,0,공기업,낙동강남해,500톤 이상(Ⅳ지역),남해동부,낙동강,낙동강,10989,10988
160000,0,0,160000,95505.1,0,0.0,95505.1,89387.3,0,0.0,89387.3,132.8,3.2,73.5,13.1,94.2,2.6,35.551,9.392999999999999,3.073,0.677,73790,422,97.6,12378.7,0.0,0.0,137.4,43685.0,90261.0,자외선 ,Ⅳ,1.8,2799.6,12007484.0,49.9,0.16899999999999998,7509.7,30,0,부산광역시,강서구,녹산,부산광역시 강서구 송정동 1773 ,MLE,0,0,공기업,낙동강남해,500톤 이상(Ⅳ지역),남해동부,낙동강,낙동강,7075,7075
15000,0,0,15000,7529.3,0,0.0,7529.3,7227.0,0,0.0,7227.0,134.0,1.4,76.7,5.8,119.7,0.9,34.769,6.082999999999999,3.948,0.045,71150,63,99.0,998.8,0.0,0.0,0.0,0.0,46750.0,자외선 ,Ⅰb,19.0,382.4,1352569.0,72.7,0.235,1992.5,19,0,부산광역시,강서구,서부,부산광역시 강서구 강동동 1539 ,SBR,0,0,공기업,낙동강하구언,500톤 이상(Ⅱ지역),동부경남,평강천,낙동강,6455,6455
140,0,140,0,43.1,0,43.1,0.0,43.1,0,43.1,0.0,133.1,6.0,125.3,11.5,124.0,5.9,47.043,14.116,8.43,1.122,57887,165,95.5,5.5,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅳ,0.0,5.4,23390.0,0.0,0.6809999999999999,50.0,1,0,부산광역시,강서구,범방,부산광역시 강서구 가락대로900번가길 32-1 (범방동) ,기타,0,0,민간(대행),낙동강남해,500톤 미만 50톤 이상,남해동부,낙동강,낙동강,5539,4048
35,0,0,35,41.6,0,0.0,41.6,41.6,0,0.0,41.6,123.4,6.2,124.2,11.4,125.3,6.1,47.593999999999994,13.267000000000001,8.965,1.1520000000000001,56167,123,95.0,4.9,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅳ,0.0,6.1,26596.0,0.0,0.802,50.0,1,0,부산광역시,강서구,동선,부산광역시 강서구 동선1길 67 (동선동) ,KM-SBR,0,0,민간(대행),낙동강남해,50톤 미만,남해동부,낙동강,낙동강,3593,2587
30,0,0,30,16.8,0,0.0,16.8,16.8,0,0.0,16.8,125.1,6.0,124.4,11.0,123.4,6.1,47.992,12.706,9.049,1.865,61000,124,95.2,2.0,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅳ,0.0,6.2,27282.0,0.0,2.039,50.0,1,0,부산광역시,강서구,봉림,부산광역시 강서구 봉림길94번가길 9 (봉림동) ,SMMIAR,0,0,민간(대행),낙동강남해,50톤 미만,남해동부,낙동강,낙동강,4596,2982
25,0,0,25,13.5,0,0.0,13.5,13.5,0,0.0,13.5,124.1,5.7,122.1,10.7,124.8,5.9,46.57899999999999,12.985999999999999,9.144,1.141,56833,113,95.4,1.6,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅳ,0.0,6.6,28820.0,0.0,2.6830000000000003,50.0,1,0,부산광역시,강서구,두문,부산광역시 강서구 천성로39번길 6-2 (천성동) ,KM-SBR,0,0,민간(대행),낙동강남해,50톤 미만,남해동부,낙동강,낙동강,3196,2466
20,0,20,0,13.6,0,13.6,0.0,13.6,0,13.6,0.0,126.1,6.5,120.2,11.7,123.8,6.3,46.711000000000006,13.429,9.03,1.375,60750,168,94.8,1.6,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅳ,0.0,6.8,29622.0,0.0,2.7439999999999998,50.0,1,0,부산광역시,강서구,세산,부산광역시 강서구 생곡로 230-38 (생곡동) ,기타,0,0,민간(대행),낙동강남해,50톤 미만,남해동부,낙동강,낙동강,3986,3986
40000,0,0,40000,25539.2,0,0.0,25539.2,22570.0,0,0.0,22570.0,181.8,4.3,132.4,13.3,209.0,2.3,57.823,7.678999999999999,5.914,0.19399999999999998,194153,244,97.6,4531.6,0.0,0.0,0.0,0.0,43781.0,자외선 ,Ⅰb,3.2,1672.9,7070102.0,53.8,0.39299999999999996,3782.6,23,0,부산광역시,기장군,정관,부산광역시 기장군 정관읍 예림리 1098-1 ,DNR,0,0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,좌광천,낙동강,4658,4627
27000,0,0,27000,26522.1,0,0.0,26522.1,23696.7,0,0.0,23696.7,134.0,1.7,77.5,8.1,165.9,1.2,32.828,5.557,4.131,0.255,273691,37,98.7,3507.8,0.0,0.0,0.0,0.0,58315.0,자외선 ,Ⅰb,3.7,963.4,4049779.0,36.0,0.215,2878.2,22,0,부산광역시,기장군,기장,부산광역시 기장군 기장대로 564   부산광역시 기장군 기장읍 신천리 252,P/L-Ⅱ,Side-Stream을 이용한 하수고도처리공법(PL-2공법),0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,죽성천,낙동강,5119,5082
9000,0,0,9000,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,0.0,0.0,0.0,0.0,0.0,0,0,부산광역시,기장군,일광,부산광역시 기장군 일광면 해빛1로 87 ,DeNiPho,0,0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,일광천,낙동강,61,-32
1100,0,0,1100,780.2,0,0.0,780.2,703.4,0,0.0,703.4,147.7,1.9,86.3,8.6,208.6,1.6,39.929,5.928999999999999,5.143,0.231,292978,44,98.7,113.7,0.0,0.0,0.0,0.0,19800.0,자외선 ,Ⅰb,0.0,85.6,373889.0,0.0,0.667,874.2,5,0,부산광역시,기장군,문오성,부산광역시 기장군 칠암3길 47   부산광역시 기장군 일광면 신평리 112,ASA,무내부순환단계유입 2단 질소인제거기술,0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,낙동강,낙동강,3257,3166
460,0,460,0,181.0,0,181.0,0.0,181.0,0,181.0,0.0,119.9,3.2,125.9,11.3,118.3,3.2,33.17,5.612,12.615,1.262,2190,116,97.3,21.1,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,19.0,82780.0,0.0,0.574,51.3,1,0,부산광역시,기장군,상장안,부산광역시 기장군 장안읍 장안리 397 ,접촉산화법,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,장안천,낙동강,5692,5127
210,0,0,210,75.3,0,0.0,75.3,75.3,0,0.0,75.3,142.3,5.8,144.3,12.3,130.8,6.0,40.308,12.765,13.042,1.05,7030,403,95.9,10.3,0.0,0.0,0.0,0.0,621.0,염소 자외선 오존 기타,Ⅰb,0.0,16.7,72977.0,0.0,1.217,50.6,1,0,부산광역시,기장군,하근,부산광역시 기장군 장안읍 기용리 1067-44번지 일원 ,"SEIL-BIO-SYSTEM,ASA",0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,장안천,낙동강,5781,5781
160,0,0,160,65.2,0,0.0,65.2,65.2,0,0.0,65.2,142.9,5.9,144.3,12.1,134.2,6.1,39.723,13.225,12.899000000000001,1.08,7098,406,95.9,8.9,0.0,0.0,0.0,0.0,1335.0,염소 오존 기타,Ⅰb,0.0,11.2,48752.0,0.0,0.938,50.6,1,0,부산광역시,기장군,기룡,부산광역시 기장군 장안읍 기룡리 1067-7번지 ,CNR,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,장안천,낙동강,5127,5127
100,0,0,100,95.9,0,0.0,95.9,95.9,0,0.0,95.9,119.8,3.1,125.4,11.6,116.7,3.3,33.913000000000004,5.665,13.263,1.298,2204,125,97.4,11.2,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,5.6,24297.0,0.0,0.318,51.3,1,0,부산광역시,기장군,산수곡,부산광역시 기장군 일광면 용천리 91-9 ,ASA,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,일광천,낙동강,4139,4139
90,0,0,90,62.0,0,0.0,62.0,62.0,0,0.0,62.0,141.7,5.8,143.2,12.4,130.3,5.9,40.166,12.943,13.165999999999999,1.127,7034,417,95.9,8.4,0.0,0.0,0.0,0.0,1662.0,염소 자외선 오존 기타,Ⅰb,0.0,14.0,61212.0,0.0,1.24,50.6,1,0,부산광역시,기장군,도야,부산광역시 기장군 장안읍 명례리 산61-8 ,VFT,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,장안천,낙동강,4139,4139
70,0,0,70,60.0,0,0.0,60.0,60.0,0,0.0,60.0,140.5,5.7,143.9,12.5,131.6,6.0,40.469,13.044,13.045,1.1,7055,410,95.9,8.1,0.0,0.0,0.0,0.0,1456.0,염소 자외선 오존 기타,Ⅰb,0.0,7.7,33742.0,0.0,0.706,50.6,1,0,부산광역시,기장군,광산,부산광역시 기장군 일광면 원리 351-1번지 ,CNR,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,좌광천,낙동강,5127,5127
70,0,0,70,52.9,0,0.0,52.9,52.9,0,0.0,52.9,142.3,5.8,142.8,12.3,130.6,6.0,40.519,13.212,13.69,1.208,7064,418,95.9,7.2,0.0,0.0,0.0,0.0,1456.0,염소 자외선 오존 기타,Ⅰb,0.0,6.4,28047.0,0.0,0.665,50.6,1,0,부산광역시,기장군,동서,부산광역시 기장군 만화리 287-1 ,SMMIAR,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,좌광천,낙동강,4139,4139
70,0,0,70,61.7,0,0.0,61.7,61.7,0,0.0,61.7,121.1,3.4,125.9,11.8,119.7,3.5,34.135,6.068,13.931,1.33,2279,128,97.2,7.3,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,5.7,24987.0,0.0,0.509,51.3,1,0,부산광역시,기장군,화전,부산광역시 기장군 일광면 화전리168-4 ,SMMIAR,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,일광천,낙동강,4139,4139
60,0,0,60,13.2,0,0.0,13.2,13.2,0,0.0,13.2,140.2,5.9,144.2,12.2,132.1,6.1,39.941,12.505,12.654000000000002,1.068,7028,398,95.8,1.8,0.0,0.0,0.0,0.0,340.0,염소 자외선 오존 기타,Ⅰb,0.0,3.0,13109.0,0.0,1.248,50.6,1,0,부산광역시,기장군,하리,부산광역시 기장군 일광면 원리 308-1번지 일원 ,오폐수 고도처리,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,좌광천,낙동강,5781,5781
50,0,0,50,36.8,0,0.0,36.8,36.8,0,0.0,36.8,119.0,3.2,123.4,11.8,116.4,3.4,33.729,5.746,13.200999999999999,1.271,2221,123,97.3,4.3,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,5.8,25169.0,0.0,0.8640000000000001,51.3,1,0,부산광역시,기장군,당곡,부산광역시 기장군 일광면 화전리585-1 ,NPR,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,일광천,낙동강,5127,5127
50,0,0,50,34.5,0,0.0,34.5,34.5,0,0.0,34.5,123.5,3.6,128.4,11.8,121.5,3.5,34.735,6.345,13.683,1.3219999999999998,2265,133,97.1,4.1,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,3.1,13613.0,0.0,0.496,51.3,1,0,부산광역시,기장군,대룡,부산광역시 기장군 장안읍 오리  220-2 ,BBF-DNS,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,효암천,낙동강,3790,3790
50,0,0,50,16.5,0,0.0,16.5,16.5,0,0.0,16.5,120.2,3.3,124.3,11.5,118.1,3.4,33.773,5.818,12.549000000000001,1.262,2200,120,97.3,1.9,0.0,0.0,0.0,0.0,0.0,염소 자외선 오존 기타,Ⅰb,0.0,3.6,15714.0,0.0,1.2,51.3,1,0,부산광역시,기장군,청광,부산광역시 기장군 일광면 청광리139-1 ,B3,0,0,민간(대행),수영강,500톤 미만 50톤 이상,동부경남,좌광천,낙동강,5127,5127
47000,0,0,47000,39782.0,0,0.0,39782.0,35954.7,0,0.0,35954.7,175.3,0.5,91.3,4.9,169.8,0.6,42.711000000000006,8.408999999999999,4.715,0.053,97984,47,99.7,6952.9,0.0,0.0,0.0,0.0,72483.0,오존 ,Ⅱ,2.0,1942.8,8317440.0,38.1,0.29,2540.0,14,0,대구광역시,동구,안심,대구광역시 동구 용계동 828-2 ,A2O,0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,금호강,낙동강,6774,6773
400000,0,0,400000,193482.6,0,0.0,193482.6,160832.0,0,0.0,160832.0,74.9,2.5,70.1,9.5,150.7,1.6,26.104,8.929,3.79,0.106,0,4,96.7,14013.6,829.7,0.0,1568.2,0.0,198906.0,오존 ,Ⅱ,4.3,9761.0,40787776.0,420.6,0.318,14049.0,73,0,대구광역시,서구,달서천,대구광역시 서구 비산동 3016 ,"표준활성슬러지법,A2O",슬러지순환형 초고속응집침전,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,달서천,낙동강,12226,12226
170000,0,0,170000,103194.7,0,0.0,103194.7,96344.1,0,0.0,96344.1,141.7,1.3,73.6,5.5,122.3,1.4,36.013000000000005,8.192,3.708,0.044000000000000004,65407,143,99.1,14491.1,0.0,0.0,0.0,0.0,102627.0,자외선 ,Ⅱ,27.4,3541.1,11228206.0,969.8,0.146,6716.0,40,0,대구광역시,서구,북부,대구광역시 서구 비산동 3442-3 ,"표준활성슬러지법,A2O",0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,달서천,낙동강,8430,8430
680000,0,0,680000,504279.1,0,0.0,504279.1,485947.0,0,0.0,485947.0,150.3,0.7,64.7,5.3,128.3,0.5,33.111999999999995,9.234,3.57,0.04,0,145,99.5,75414.2,0.0,0.0,0.0,330.0,301599.0,염소 ,Ⅱ,24.8,11096.7,36458869.0,2747.6,0.094,16398.0,68,0,대구광역시,북구,신천,대구광역시 북구 서변동 1290-4 ,"표준활성슬러지법,A2O",0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,금호강,낙동강,10046,10046
33750,0,0,33750,22650.4,0,0.0,22650.4,20510.8,0,0.0,20510.8,230.6,0.5,119.0,5.5,237.0,0.6,44.093,7.848,5.222,0.040999999999999995,131080,42,99.8,5212.7,0.0,0.0,0.0,0.0,58894.0,염소 ,Ⅱ,0.3,1245.2,5418993.0,4.3,0.332,2748.0,20,0,대구광역시,수성구,지산,대구광역시 수성구 무학로 112 ,A2O,0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,범어천,낙동강,6774,6774
520000,0,0,520000,388019.6,0,0.0,388019.6,376897.1,0,0.0,376897.1,215.5,0.7,116.7,6.2,245.8,1.0,52.574,9.145,5.571000000000001,0.046,64659,62,99.7,83367.4,1085.8,0.0,0.0,0.0,265377.0,염소 ,Ⅱ,27.5,10838.6,34327490.0,2977.6,0.114,15991.0,59,0,대구광역시,달서구,서부,대구광역시 달서구 달서대로 210 대구환경공단 서부사업소 대구광역시 달서구 대천동 770,"표준활성슬러지법,A2O",0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,대명천,낙동강,8417,8417
23000,0,0,23000,28007.2,0,0.0,28007.2,27976.9,0,0.0,27976.9,145.3,2.0,102.1,13.6,137.2,1.9,31.918000000000003,11.225,2.762,0.025,80210,8,98.6,4012.5,0.0,0.0,0.0,0.0,63251.0,자외선 ,Ⅱ,1.9,2771.1,11868679.0,53.2,0.5329999999999999,6323.0,49,0,대구광역시,달성군,현풍,대구광역시 달성군 현풍서로 147   ,A2O,0,0,공기업,낙동고령,500톤 이상(Ⅱ지역),금호강,차천,낙동강,4140,4139
