,시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
10,450000,0,450000,404052.4,0.0,404052.4,375437.6,0.0,375437.6,175.4,2.4,116.0,9.9,189.4,1.7,33.643,8.869,2.572,0.49,225505,500,69878.6,2710.3,0.0,1193.4,14564.5,828000.0,0,1,0,34.6,11437.7,32660524.0,3958.4,0.109,0.0,49,0,0,0,0,1,0,1,1,0,1,0,0,1,0,10989,10988,1,0,0,0,98.6
11,160000,0,160000,95505.1,0.0,95505.1,89387.3,0.0,89387.3,132.8,3.2,73.5,13.1,94.2,2.6,35.551,9.393,3.073,0.677,73790,422,12378.7,0.0,0.0,137.4,43685.0,90261.0,0,1,0,1.8,2799.6,12007484.0,49.9,0.1689999999999999,7509.7,30,0,0,0,0,1,0,1,1,0,1,0,0,1,0,7075,7075,0,1,0,0,97.6
12,15000,0,15000,7529.3,0.0,7529.3,7227.0,0.0,7227.0,134.0,1.4,76.7,5.8,119.7,0.9,34.769,6.082999999999999,3.948,0.045,71150,63,998.8,0.0,0.0,0.0,0.0,46750.0,0,1,1,19.0,382.4,1352569.0,72.7,0.235,1992.5,19,0,0,0,0,1,0,1,1,0,1,1,0,1,0,6455,6455,0,1,0,0,99.0
13,140,140,0,43.1,43.1,0.0,43.1,43.1,0.0,133.1,6.0,125.3,11.5,124.0,5.9,47.043,14.116,8.43,1.122,57887,165,5.5,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,5.4,23390.0,0.0,0.6809999999999999,50.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5539,4048,1,1,1,1,95.5
14,35,0,35,41.6,0.0,41.6,41.6,0.0,41.6,123.4,6.2,124.2,11.4,125.3,6.1,47.594,13.267,8.965,1.152,56167,123,4.9,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,6.1,26596.0,0.0,0.802,50.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3593,2587,1,1,1,1,95.0
15,30,0,30,16.8,0.0,16.8,16.8,0.0,16.8,125.1,6.0,124.4,11.0,123.4,6.1,47.992,12.706,9.049,1.865,61000,124,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,6.2,27282.0,0.0,2.039,50.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,4596,2982,1,1,1,1,95.2
16,25,0,25,13.5,0.0,13.5,13.5,0.0,13.5,124.1,5.7,122.1,10.7,124.8,5.9,46.57899999999999,12.986,9.144,1.141,56833,113,1.6,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,6.6,28820.0,0.0,2.6830000000000003,50.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3196,2466,1,1,1,1,95.4
17,20,20,0,13.6,13.6,0.0,13.6,13.6,0.0,126.1,6.5,120.2,11.7,123.8,6.3,46.711000000000006,13.429,9.03,1.375,60750,168,1.6,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,6.8,29622.0,0.0,2.744,50.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3986,3986,1,1,1,1,94.8
18,40000,0,40000,25539.2,0.0,25539.2,22570.0,0.0,22570.0,181.8,4.3,132.4,13.3,209.0,2.3,57.823,7.678999999999999,5.914,0.1939999999999999,194153,244,4531.6,0.0,0.0,0.0,0.0,43781.0,0,1,1,3.2,1672.9,7070102.0,53.8,0.3929999999999999,3782.6,23,0,0,0,0,1,0,1,1,0,1,0,0,1,0,4658,4627,0,1,0,0,97.6
19,27000,0,27000,26522.1,0.0,26522.1,23696.7,0.0,23696.7,134.0,1.7,77.5,8.1,165.9,1.2,32.828,5.557,4.131,0.255,273691,37,3507.8,0.0,0.0,0.0,0.0,58315.0,0,1,1,3.7,963.4,4049779.0,36.0,0.215,2878.2,22,0,0,0,0,1,0,1,1,0,1,0,0,1,0,5119,5082,0,1,0,0,98.7
20,9000,0,9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,61,-32,1,1,1,1,0.0
