가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
5478,95000,37048.7,38670.4,0,1,1,7.7,2.9,9.025,1.064,20,37048.7,0,0,0,1,79572.0,0,0.0,0.0,0,1,0,0,0,0,1,0,95000,0,0.0,0.0,0.0,0.0,1,1,3897.0,67.0,130.6,31.145,3.583,154546,38670.4,0.0,0.0,5479,0,1,0,19,4985.9,1390.0,6069835.0,0.206
7159,40,29.3,29.3,0,1,1,8.6,2.1,8.554,0.8,453,29.3,1,1,1,1,816.0,0,0.0,0.0,1,0,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,12.9,80.2,85.6,38.967,4.513999999999999,79000,29.3,0.0,0.0,7159,1,0,1,0,4.0,8.8,38442.0,1.645
6270,50,33.3,33.3,1,0,1,5.7,3.2,6.68,1.101,44,33.3,1,1,1,1,330.0,0,0.0,0.0,0,1,0,0,1,1,1,1,50,0,0.0,0.0,0.0,0.0,1,1,0.0,29.6,35.9,13.28,1.732,43635,33.3,0.0,0.0,6270,1,0,0,0,1.0,6.1,26820.0,1.731
8004,40,19.4,19.4,0,1,1,7.0,2.4,6.977,0.7959999999999999,123,19.4,1,1,1,1,279.0,0,0.0,0.0,0,1,0,1,0,0,0,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,113.6,123.0,36.368,3.695,144167,19.4,0.0,0.0,8004,1,0,1,0,2.2,3.2,13898.0,0.9
3774,50,58.4,58.4,1,0,1,4.9,0.7,4.27,0.5670000000000001,9,58.4,1,1,1,1,2116.0,0,0.0,0.0,1,0,0,0,1,0,1,1,50,0,0.0,0.0,0.0,0.0,1,0,0.0,49.7,110.1,26.8,2.5540000000000003,129192,58.4,0.0,0.0,3774,1,0,0,0,4.8,12.4,54034.0,1.161
3713,300,291.1,318.6,1,0,1,6.2,1.8,12.443,0.084,30,291.1,1,1,1,1,10968.0,0,0.0,0.0,0,1,0,0,1,1,1,1,300,0,0.0,0.0,0.0,0.0,1,0,27.0,44.9,52.3,21.584,1.898,44105,318.6,0.0,0.0,3713,1,0,0,1,23.2,43.9,191860.0,0.8270000000000001
7701,24,18.6,18.6,0,1,1,14.5,4.2,14.726,1.093,946,18.6,1,1,1,1,0.0,0,0.0,0.0,1,0,0,0,1,1,0,0,24,0,0.0,0.0,0.0,0.0,1,0,13.9,98.9,138.3,31.241,3.1,21000,18.6,0.0,0.0,7701,1,0,1,0,2.6,8.4,36697.0,2.474
3458,2000,1319.5,1380.3,0,1,0,5.5,1.9,4.832,0.04,4,1319.5,0,0,0,1,20819.0,0,0.0,0.0,0,1,0,1,0,0,0,0,2000,0,0.0,0.0,0.0,0.0,1,0,0.0,78.1,128.0,31.81,2.9810000000000003,70578,1380.3,28.4,20.0,3473,0,0,1,0,168.6,141.9,495501.0,0.471
4870,40,35.4,35.4,0,1,1,6.4,2.0,8.52,0.747,28,35.4,1,1,1,1,357.0,0,0.0,0.0,0,0,1,0,1,0,1,1,40,0,0.0,0.0,0.0,0.0,1,0,21.0,91.9,116.0,34.919000000000004,3.694,160933,35.4,0.0,0.0,4870,1,0,1,0,4.1,6.2,27087.0,0.959
2191,60,75.6,75.6,0,0,1,10.9,1.9,6.67,0.866,193,75.6,1,1,1,1,2700.0,0,0.0,0.0,0,1,0,0,1,1,1,1,60,0,0.0,0.0,0.0,0.0,1,0,137.0,85.3,130.0,36.678,4.159,493208,75.6,0.0,0.0,2192,1,0,0,0,14.2,27.5,120000.0,1.994
3050,2300,1168.4,1380.4,0,1,1,5.6,2.9,7.1370000000000005,0.108,73,1168.4,0,0,0,1,37126.0,0,0.0,0.0,0,0,1,0,1,0,0,1,2300,0,0.0,0.0,0.0,0.0,1,0,0.0,73.8,84.0,25.733,2.664,39142,1380.4,29.2,18.4,3111,0,0,1,6,108.9,158.6,565095.0,0.607
2389,430,854.8,854.8,1,0,0,41.9,71.3,23.262,2.537,26829,854.8,1,1,1,1,8318.0,0,0.0,0.0,0,1,1,0,0,1,0,1,430,0,0.0,0.0,0.0,0.0,1,0,24.0,88.0,356.9,37.567,4.775,64555,854.8,0.0,0.0,2421,1,0,0,0,127.2,12.4,53946.0,0.083
419,10100,6249.0,7035.4,0,1,0,9.5,2.0,5.4510000000000005,0.442,40,6249.0,1,1,1,1,40807.0,0,0.0,0.0,0,0,1,0,1,0,0,1,10100,0,0.0,0.0,0.0,0.0,1,0,2314.5,123.0,170.4,52.129,5.417999999999999,107344,7035.4,0.0,0.0,420,0,1,0,6,1547.7,503.1,2197103.0,0.441
3421,1200,818.8,950.3,1,0,1,8.0,2.8,6.811,0.129,94,818.8,0,0,0,1,25611.0,0,0.0,0.0,0,0,1,0,1,0,1,0,1200,0,0.0,0.0,0.0,0.0,1,0,0.0,97.5,160.2,42.47,4.373,163029,950.3,0.0,0.0,3389,0,1,1,6,276.0,110.4,481882.0,0.7390000000000001
1780,50,57.3,57.3,0,1,0,5.6,1.0,11.406,0.888,325,57.3,1,1,1,1,1862.0,0,0.0,0.0,0,1,0,1,0,0,0,0,50,0,0.0,0.0,0.0,0.0,1,0,14.8,69.9,70.2,30.896,3.729,167419,57.3,0.0,0.0,1829,1,0,0,0,7.6,0.7,3047.0,0.067
4054,430,115.0,119.0,0,1,1,12.5,5.6,6.5,0.294,55,115.0,1,1,1,1,7624.0,0,0.0,0.0,1,0,0,0,1,1,0,0,430,0,0.0,0.0,0.0,0.0,1,0,44.3,128.9,161.0,39.452,5.337999999999999,95151,119.0,0.0,0.0,4054,1,0,0,0,22.5,37.0,161427.0,1.7619999999999998
4055,50,72.4,72.4,0,1,0,3.8,0.3,12.296,1.01,47,72.4,1,1,1,1,706.0,0,0.0,0.0,0,1,0,1,0,0,0,0,50,0,0.0,0.0,0.0,0.0,1,0,14.8,34.9,29.5,29.787,3.032,60528,72.4,0.0,0.0,4055,1,0,0,0,4.1,0.5,2061.0,0.036
1078,50,58.8,58.8,0,1,1,10.9,6.0,12.42,1.374,56,58.8,1,1,1,1,2791.0,0,0.0,0.0,1,0,1,0,1,1,0,1,50,0,0.0,0.0,0.0,0.0,1,0,0.0,78.8,98.2,36.577,4.538,46923,58.8,0.0,0.0,1098,1,0,0,0,5.5,3.7,16197.0,0.346
1014,150,124.6,124.6,0,1,1,12.8,6.3,14.276,1.46,209,124.6,1,1,1,1,10596.0,0,0.0,0.0,0,1,1,0,1,1,1,0,150,0,0.0,0.0,0.0,0.0,0,1,0.0,39.9,81.2,36.059,3.533,27025,124.6,0.0,0.0,1014,1,0,0,0,13.6,12.0,52520.0,0.529
5327,40,40.0,40.0,1,0,1,11.7,6.5,16.78,1.65,354,40.0,1,1,1,1,255.0,0,0.0,0.0,0,0,1,0,1,0,1,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,70.1,142.4,43.045,4.339,56917,40.0,0.0,0.0,5327,1,0,1,0,4.3,0.0,120.0,0.004
4017,90,72.5,72.5,1,0,0,13.2,5.1,15.228,1.366,56,72.5,1,1,1,1,684.0,0,0.0,0.0,1,0,0,0,1,1,0,1,90,0,0.0,0.0,0.0,0.0,1,0,0.0,103.2,103.1,36.048,3.615,50868,72.5,0.0,0.0,4017,1,0,0,0,8.9,9.9,43070.0,0.746
