가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
5539,40,33.7,33.7,1,0,0,12.1,4.4,11.929,1.463,206,33.7,1,1,1,1,251.0,0,0.0,0.0,0,1,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,58.8,96.7,28.512,6.574,163333,33.7,0.0,0.0,5539,1,0,1,0,2.9,5.6,24255.0,0.904
3683,800,237.0,252.8,0,1,1,6.4,3.1,5.197,0.389,20,237.0,0,1,0,1,22288.0,0,0.0,0.0,1,0,0,0,1,1,0,0,800,0,0.0,0.0,0.0,0.0,1,0,210.0,68.2,101.1,36.976,3.779,46279,252.8,0.0,0.0,3683,0,1,0,2,35.0,103.2,450869.0,2.388
4851,200,81.0,81.0,1,0,0,12.0,5.4,12.336,1.177,9,81.0,1,1,1,1,852.0,0,0.0,0.0,0,0,1,0,1,0,0,1,200,0,0.0,0.0,0.0,0.0,1,0,67.8,115.3,193.0,54.131,5.624,104830,81.0,0.0,0.0,4851,1,0,0,0,15.2,39.1,170837.0,2.647
4653,60,43.7,43.7,1,0,1,15.7,5.2,14.195,1.4580000000000002,168,43.7,1,1,1,1,1242.0,0,0.0,0.0,0,1,0,0,1,1,1,1,60,0,0.0,0.0,0.0,0.0,1,0,6.8,124.0,111.9,22.812,3.4210000000000003,51869,43.7,0.0,0.0,4653,1,0,0,0,8.0,14.1,61745.0,1.775
5478,40,31.0,31.0,1,0,0,14.1,5.0,13.865,1.565,201,31.0,1,1,1,1,301.0,0,0.0,0.0,0,1,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,70.0,95.8,32.533,6.778,197500,31.0,0.0,0.0,5478,1,0,1,0,3.2,4.7,20524.0,0.8320000000000001
3412,55,40.6,40.5,0,1,1,14.2,3.8,12.94,1.342,148,40.6,1,1,1,1,1384.0,0,0.0,0.0,1,0,1,0,1,1,1,0,55,0,0.0,0.0,0.0,0.0,0,1,0.0,105.2,111.9,27.136,3.528,82720,40.5,0.0,0.0,4279,1,0,0,0,4.5,7.9,34449.0,1.0659999999999998
3954,400,0.0,0.0,0,1,1,12.7,5.3,14.156,1.5219999999999998,49,235.7,1,1,1,1,9631.0,0,235.7,235.7,1,0,1,0,1,1,1,0,400,0,0.0,0.0,0.0,0.0,1,0,0.0,108.2,101.9,31.968000000000004,4.419,31702,235.7,0.0,0.0,3954,1,0,0,0,30.9,17.7,77205.0,0.411
3306,900,574.1,653.7,0,1,1,6.0,1.1,7.258999999999999,0.039,5,574.1,0,0,0,1,17702.0,0,0.0,0.0,0,1,0,1,0,0,0,0,900,0,0.0,0.0,0.0,0.0,1,0,0.0,77.8,134.9,41.764,3.48,57593,653.7,10.7,16.3,3371,0,1,1,0,87.2,65.6,239659.0,0.524
3986,30,34.0,34.0,1,0,0,13.4,6.8,23.455,2.42,86,34.0,1,1,1,1,272.0,0,0.0,0.0,1,0,0,0,1,1,0,1,30,0,0.0,0.0,0.0,0.0,1,0,0.0,111.9,102.9,43.062,4.293,50387,34.0,0.0,0.0,3986,1,0,1,0,4.5,3.3,14226.0,0.525
3288,60,21.0,21.0,1,0,1,8.2,4.4,12.983,1.093,53,21.0,1,1,1,1,0.0,0,0.0,0.0,1,0,0,0,1,1,0,0,60,0,0.0,0.0,0.0,0.0,1,0,14.0,79.6,147.4,35.705,4.039,90585,21.0,0.0,0.0,3288,1,0,0,6,2.9,10.7,46697.0,2.795
4750,15,8.5,8.5,1,0,1,9.1,4.1,17.089000000000002,1.301,68,8.5,1,1,1,1,0.0,0,0.0,0.0,1,0,0,0,1,1,0,0,15,0,0.0,0.0,0.0,0.0,1,0,4.0,79.4,155.5,37.12,3.337,101500,8.5,0.0,0.0,4750,1,0,1,6,1.1,3.7,16195.0,2.398
6624,1500,1127.8,1339.0,0,1,1,6.2,1.5,8.865,0.042,11,1127.8,0,0,0,1,9337.0,0,0.0,0.0,0,0,1,0,1,0,1,0,1500,0,0.0,0.0,0.0,0.0,1,1,0.0,89.0,130.0,30.682,3.252,92156,1339.0,11.4,8.4,6222,0,1,1,0,151.9,135.1,540096.0,0.601
6069,80,68.1,68.1,1,0,1,8.2,3.8,7.785,0.423,42,68.1,1,1,1,1,385.0,0,0.0,0.0,0,1,0,0,1,1,1,1,80,0,0.0,0.0,0.0,0.0,1,0,0.0,87.2,95.2,43.005,4.837,89661,68.1,0.0,0.0,6069,1,0,0,0,7.9,5.9,25822.0,0.476
883,45,25.7,25.7,1,0,1,9.4,3.1,13.102,1.771,35,25.7,1,1,1,1,2236.0,0,0.0,0.0,0,1,0,0,1,1,1,1,45,0,0.0,0.0,0.0,0.0,1,1,32.0,76.7,122.5,37.17,3.904,142885,25.7,0.0,0.0,884,1,0,1,0,2.7,9.4,40940.0,1.999
7483,35,12.5,12.5,1,0,1,5.1,2.0,13.752,1.431,11,12.5,1,1,1,1,170.0,0,0.0,0.0,0,0,1,0,1,0,1,1,35,0,0.0,0.0,0.0,0.0,1,0,10.0,61.2,91.3,36.447,3.71,33667,12.5,0.0,0.0,7483,1,0,1,15,1.1,6.0,26344.0,2.655
8765,30,0.0,0.0,1,0,1,8.5,4.5,18.783,2.166,13,9.6,1,1,1,1,0.0,0,9.6,9.6,0,1,0,0,1,1,1,1,30,0,0.0,0.0,0.0,0.0,1,0,9.1,53.9,70.7,37.375,3.512,9200,9.6,0.0,0.0,8765,1,0,1,1,0.7,5.2,22713.0,2.972
5204,40,31.5,31.5,0,0,1,7.6,5.7,9.885,0.8370000000000001,346,31.5,1,1,1,1,682.0,0,0.0,0.0,0,1,1,0,1,1,1,0,40,0,0.0,0.0,0.0,0.0,1,0,2.9,99.7,113.7,22.045,1.932,300000,31.5,0.0,0.0,5204,1,0,1,3,3.5,6.8,29616.0,1.182
